Title,Artist,BPM,Energy,Key,Danceability,Valence,Popularity,Acousticness,Length
Man I Need,Olivia Dean,119,59,3B,81,69,96,49,3:04
Choosin' Texas,Ella Langley,112,78,3B,68,49,91,1,3:52
Don't You (Forget About Me),Simple Minds,111,82,11B,66,68,81,17,4:23
Everybody Wants To Rule The World,Tears For Fears,112,80,10B,65,54,87,35,4:11
Run Together,Mumford & Sons,115,52,10B,42,29,64,20,3:39
BIRDS OF A FEATHER,Billie Eilish,105,51,10B,75,44,95,20,3:30
Mi Gente,J Balvin,105,69,9A,77,31,72,2,3:09
Wish I Didn't Know Now,Ella Langley,110,60,8B,43,28,75,25,4:26
The Banjo Song,Mumford & Sons,112,62,7B,64,35,66,25,3:49
American Girl,Tom Petty and the Heartbreakers,114,73,10B,56,77,58,45,3:30
Dai Dai,Shakira,116,60,12A,86,63,96,14,3:43
Don't Stop Believin' (2022 Remaster),Journey,119,75,12B,51,51,88,13,4:09
Born in the U.S.A.,Bruce Springsteen,122,95,1B,40,58,79,0,4:38
Firework,Katy Perry,124,83,4B,64,65,75,14,3:47
The Fate of Ophelia,Taylor Swift,124,60,7B,73,52,95,27,3:46
It's A Great Day To Be Alive,Travis Tritt,129,65,9B,60,54,78,25,4:01
I Gotta Feeling,Black Eyed Peas,128,77,9B,74,61,82,9,4:49
Summer,Calvin Harris,128,86,9B,60,74,90,2,3:42
The Devil Went Down to Georgia,The Charlie Daniels Band,134,63,7A,52,92,71,16,3:34
Can't Hold Us (feat. Ray Dalton),Macklemore,146,92,9A,64,85,82,3,4:18
American Cars,Noah Kahan,143,88,8B,59,66,55,1,4:32
American Pie,Don McLean,138,48,9B,53,49,84,70,8:36
The Cave,Mumford & Sons,142,49,12B,58,34,74,6,3:37
Viva La Vida,Coldplay,138,62,4B,49,42,90,10,4:02
So Easy (To Fall In Love),Olivia Dean,140,63,5B,75,57,96,67,2:49
Here (with Chris Stapleton),Mumford & Sons,156,58,6B,55,45,75,16,3:11
Every Little Thing She Does Is Magic,The Police,82,77,10B,56,43,79,12,4:20
A Bar Song (Tipsy),Shaboozey,81,70,11B,72,61,65,7,2:51
Wagon Wheel,Darius Rucker,148,66,11B,54,58,85,46,4:58
Mr. Brightside,The Killers,148,91,3B,35,24,95,0,3:42
House Party,Sam Hunt,104,86,5B,75,86,73,11,3:10
Life is a Highway,Rascal Flatts,103,93,7B,56,56,79,0,4:35
Rubber Band Man (with Hozier),Mumford & Sons,104,60,6B,49,19,69,56,3:40
Kiss Me,Sixpence None The Richer,100,75,5B,53,42,87,2,3:28
Crazy In Love (feat. JAY-Z),Beyoncé,99,77,6A,65,68,82,0,3:56
Gasolina,Daddy Yankee,96,80,7B,85,74,88,32,3:12
Échame La Culpa,Luis Fonsi,96,90,8B,73,65,78,4,2:53
Sweet Home Alabama,Lynyrd Skynyrd,98,61,9B,60,89,86,18,4:43
Party In The U.S.A.,Miley Cyrus,96,70,2B,65,47,81,0,3:22
Umbrella,Rihanna,174,83,3B,59,58,87,1,4:35
Knee Deep (feat. Jimmy Buffett),Zac Brown Band,91,58,5B,72,61,80,43,3:23
Chicken Fried,Zac Brown Band,170,71,2B,57,81,84,65,3:58
Something Like That,Tim McGraw,172,85,7B,51,85,75,38,3:03
You Make My Dreams (Come True),Daryl Hall & John Oates,167,50,7B,75,90,84,23,3:10
American Kids,Kenny Chesney,85,59,9B,78,85,80,5,3:02
Send Me On My Way,Rusted Root,119,70,8B,50,72,80,13,4:23
Golden,HUNTR/X,123,67,9B,72,10,81,10,3:14
September,"Earth, Wind & Fire",126,83,11B,70,98,78,17,3:35
Si Antes Te Hubiera Conocido,KAROL G,128,67,1A,92,79,85,45,3:15
Sweet Caroline,Neil Diamond,63,13,1B,53,58,82,61,3:23
